marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate
CD276,KLK2,AND,18,0.1920289844274521,0.28823954,0.31343186,0.06374177,0.17624521,0.2554217,prostate gland,luminal cell of prostate epithelium,0.046243623,uterus,fibroblast,2,6311,3,10277,0.22449777,0.24199592
TMEFF2,HPN,AND,18,0.0560969527810812,0.30239898,0.33457196,0.0049393997,0.31555554,0.1,prostate gland,luminal cell of prostate epithelium,0.0625,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.29745957,0.23989898
SLC45A3,CD276,AND,18,0.18914436697959902,0.28823954,0.29980245,0.030364804,0.14851485,0.20337349,prostate gland,luminal cell of prostate epithelium,0.050985225,lung,basophil,4,1308,3,10277,0.25787473,0.23725432
STEAP2,STEAP4,AND,18,0.6226428925991059,0.74750125,0.7647225,0.18820721,0.60444444,0.56096387,prostate gland,luminal cell of prostate epithelium,0.5164285,lung,respiratory goblet cell,4,978,3,10277,0.55929404,0.23107278
HPN,TACSTD2,AND,18,0.5003039509057998,0.6625,0.6491863,0.097997636,0.24,0.43678093,pancreas,pancreatic acinar cell,0.43678093,pancreas,pancreatic acinar cell,2,5482,2,5482,0.56450236,0.2257191
TMEFF2,TMPRSS2,AND,18,0.10101449191570282,0.35126182,0.4001282,0.017142728,0.45333335,0.23333333,prostate gland,luminal cell of prostate epithelium,0.13207547,small intestine,enteroendocrine cell of small intestine,5,249,3,10277,0.33411908,0.21918635
NECTIN4,KLK3,AND,18,0.15093070268630981,0.26692355,0.30150092,0.0696052,0.24712643,0.36363637,prostate gland,basal cell of prostate epithelium,0.061915793,exocrine gland,duct epithelial cell,4,3825,3,3440,0.19731835,0.20500776
MME,KLK2,AND,18,0.0270750742405653,0.27754012,0.30985615,0.14696941,0.46534654,0.42307693,prostate gland,luminal cell of prostate epithelium,0.075610965,uterus,fibroblast,2,6311,3,10277,0.13057071,0.20192915
TMEFF2,TACSTD2,AND,18,0.09586207047104836,0.33042848,0.38496965,0.018489674,0.37333333,0.22307692,prostate gland,luminal cell of prostate epithelium,0.13750373,lung,pulmonary alveolar type 1 cell,4,3046,3,10277,0.31193882,0.19292475
SLC45A3,MME,AND,18,0.02630187831819058,0.27283424,0.30077562,0.06681532,0.44554454,0.32564104,prostate gland,luminal cell of prostate epithelium,0.08730159,small intestine,intestinal crypt stem cell of small intestine,5,531,3,10277,0.20601892,0.18553266
SLC45A3,NECTIN4,AND,18,0.13440722078084946,0.24716243,0.27874455,0.0348797,0.20792079,0.1879518,prostate gland,luminal cell of prostate epithelium,0.062195122,uterus,ciliated epithelial cell,2,317,3,10277,0.21228273,0.18496731
TMEFF2,CD46,AND,18,0.10101449191570282,0.3477472,0.38621688,0.021837406,0.45333335,0.23333333,prostate gland,luminal cell of prostate epithelium,0.17281349,bone marrow,common myeloid progenitor,4,359,3,10277,0.3259098,0.17493372
STEAP1,ADAM9,AND,18,0.4608974277973175,0.59763515,0.6035572,0.17387335,0.31555554,0.5257831,prostate gland,luminal cell of prostate epithelium,0.423365,lung,respiratory goblet cell,4,978,3,10277,0.42376179,0.17427015
STEAP4,TMEFF2,AND,18,0.07834482826292516,0.30584693,0.34988517,0.009809616,0.4888889,0.15897436,prostate gland,luminal cell of prostate epithelium,0.1344697,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.29603732,0.17137723
STEAP2,CDH1,AND,18,0.5782584846019745,0.79834056,0.755785,0.26462483,0.50165015,0.8313253,prostate gland,luminal cell of prostate epithelium,0.636322,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5337157,0.16201854
TMEFF2,EPCAM,AND,18,0.08673163577914238,0.33428016,0.3837341,0.015915819,0.39555556,0.20963855,prostate gland,luminal cell of prostate epithelium,0.18181819,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.31836435,0.15246198
TMEFF2,CDH1,AND,18,0.07773613333702088,0.300372,0.32450613,0.0143145155,0.21333334,0.22820513,prostate gland,luminal cell of prostate epithelium,0.14923412,lung,pulmonary alveolar type 1 cell,4,3046,3,10277,0.2860575,0.15113789
PSCA,KLK2,AND,18,0.068693021312356,0.16233766,0.25283808,0.08461143,0.27062705,0.2794872,prostate gland,luminal cell of prostate epithelium,0.017272769,exocrine gland,duct epithelial cell,4,3825,3,10277,0.07772623,0.14506489
