marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate,both_surface,on_frontier_all,on_frontier_surface,rank_surface
TACSTD2,CD46,AND,18,0.7417129218578339,0.8714075,0.86302584,0.5312636,0.75287354,0.9468085,tongue,salivary gland cell,0.9468085,tongue,salivary gland cell,2,734,2,734,0.34014392,-0.07540101,True,False,False,24
STEAP1,CD46,AND,18,0.7388589084148407,0.8482089,0.82611465,0.3255635,0.5412541,0.68289155,prostate gland,luminal cell of prostate epithelium,0.448972,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5226454,0.39923692,True,False,False,25
STEAP1,KLK2,AND,18,0.7370184123516083,0.86426973,0.8571705,0.21762449,0.64,0.62987953,prostate gland,luminal cell of prostate epithelium,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.64664525,0.8585879,False,False,False,26
TMPRSS2,TACSTD2,AND,18,0.7329230964183807,0.8844461,0.8665971,0.36478668,0.6017699,0.8947368,respiratory system,mucus secreting cell,0.8947368,respiratory system,mucus secreting cell,5,269,5,269,0.5196594,-0.010290742,True,False,False,27
EPCAM,CD46,AND,18,0.729623156785965,0.89309764,0.873204,0.4510433,0.6877395,0.9285714,exocrine gland,ionocyte,0.9285714,exocrine gland,ionocyte,3,139,3,139,0.44205433,-0.035473764,True,False,False,28
STEAP1,STEAP2,AND,18,0.722748464345932,0.85459507,0.84674335,0.2530443,0.60888886,0.67421687,prostate gland,luminal cell of prostate epithelium,0.32668775,lung,respiratory goblet cell,4,978,3,10277,0.60155076,0.5279073,True,False,False,29
STEAP1,KLK3,AND,18,0.7174969553947449,0.86984754,0.8592878,0.20555724,0.64,0.67903614,prostate gland,luminal cell of prostate epithelium,0.009326047,exocrine gland,duct epithelial cell,4,3825,3,10277,0.6642903,0.8605215,False,False,False,30
SLC45A3,TACSTD2,AND,18,0.7100000083446503,0.8208444,0.8291485,0.13770595,0.51155114,0.47662652,prostate gland,luminal cell of prostate epithelium,0.19587629,ovary,glandular epithelial cell,3,232,3,10277,0.6831385,0.6249681,True,False,False,31
TACSTD2,EPCAM,AND,18,0.706855171918869,0.8844445,0.8547018,0.4903453,0.66283524,0.94736844,respiratory system,mucus secreting cell,0.94736844,respiratory system,mucus secreting cell,5,269,5,269,0.39409918,-0.06292397,True,False,False,32
SLC45A3,EPCAM,AND,18,0.7051213681697845,0.85629225,0.8390924,0.12523113,0.47524753,0.40578315,prostate gland,luminal cell of prostate epithelium,0.121212125,stomach,epithelial cell,3,1596,3,10277,0.7310611,0.7350801,True,False,False,33
