pair,k,tumor_q10,tumor_median,benign_prostate_median,worst_healthy_xprostate,malignant_vs_benign
FOLH1 + PSCA,1,0.05794148556888103,0.104474224,0.030712366,0.13257575,0.07376186
FOLH1 + STEAP1,1,0.4507606059312821,0.6770834,0.091783985,0.2820513,0.5852994
STEAP1 + HPN,1,0.4652674049139023,0.6418574,0.07104863,0.16,0.57080877
STEAP2 + HPN,1,0.520022863149643,0.6813462,0.075261146,0.2254902,0.60608506
STEAP1 + TMPRSS2,1,0.7048275768756866,0.8497263,0.2544185,0.3572556,0.5953078
FOLH1 + PSCA,2,0.0049185108859092,0.021367522,0.009186836,0.09469697,0.012180686
FOLH1 + STEAP1,2,0.20925372540950776,0.5097254,0.046311617,0.12820514,0.46341377
STEAP1 + HPN,2,0.1716932624578476,0.4178788,0.018109474,0.051282052,0.39976934
STEAP2 + HPN,2,0.23320895582437517,0.47985074,0.01905385,0.07692308,0.4607969
STEAP1 + TMPRSS2,2,0.5369906008243561,0.69235575,0.109319,0.28323698,0.5830368
FOLH1 + PSCA,3,0.0,0.013872943,0.0017130561,0.07692308,0.012159887
FOLH1 + STEAP1,3,0.11820894926786424,0.37411803,0.024313593,0.12820514,0.34980443
STEAP1 + HPN,3,0.07468690797686577,0.31151515,0.0046391794,0.025641026,0.30687597
STEAP2 + HPN,3,0.11884328424930572,0.3628692,0.007764682,0.051282052,0.3551045
STEAP1 + TMPRSS2,3,0.39352143406867984,0.5496268,0.07657217,0.28323698,0.47305465
