activator,blocker,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,malignant_vs_benign,selectivity_xprostate
CD70,GRPR,NOT,18,0.0,0.0,0.0017846448,0.0,0.006849315,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,TMPRSS2,NOT,18,0.0,0.0,0.0,0.0,0.0038314175,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,EPCAM,NOT,18,0.0,0.0,0.0,0.0,0.0034246575,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,SLC34A1,NOT,18,0.0,0.0,0.0025353956,0.0,0.006849315,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,NECTIN4,NOT,18,0.0,0.0,0.0010723942,0.0,0.006849315,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,MME,NOT,18,0.0,0.0,0.0010350383,0.0,0.0038314175,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,DLL3,NOT,18,0.0,0.0,0.0025353956,0.0,0.006849315,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,KLK3,NOT,18,0.0,0.0,0.0,0.0,0.003717472,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,FOLR1,NOT,18,0.0,0.0,0.0025353956,0.0,0.006849315,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,CDH16,NOT,18,0.0,0.0,0.0025353956,0.0,0.006849315,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,MSLN,NOT,18,0.0,0.0,0.0025353956,0.0,0.006849315,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,KLK2,NOT,18,0.0,0.0,0.0,0.0,0.003717472,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,STEAP1,NOT,18,0.0,0.0,0.0,0.0,0.0038314175,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,STEAP2,NOT,18,0.0,0.0,0.00010622476,0.0,0.0038314175,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,TMEFF2,NOT,18,0.0,0.0,0.0012089877,0.0,0.006849315,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,STEAP4,NOT,18,0.0,0.0,0.0,0.0,0.006849315,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,FOLH1,NOT,18,0.0,0.0,0.00073156256,0.0,0.006849315,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
CD70,TACSTD2,NOT,18,0.0,0.0,0.00017806268,0.0,0.0,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
