marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,malignant_vs_benign,selectivity_xprostate,on_frontier
STEAP2,FOLR1,AND,18,0.0,0.0,0.0023674779,0.02243465,0.10344828,0.41634616,lung,respiratory goblet cell,0.41634616,lung,respiratory goblet cell,-0.02243465,-0.41634616,False
TMEFF2,MSLN,AND,18,0.0,0.0,0.0029650216,0.0,0.005050505,0.42307693,heart,mesothelial cell,0.42307693,heart,mesothelial cell,0.0,-0.42307693,False
CEACAM5,ERBB2,AND,18,0.0,0.0,0.0030651672,0.0051650414,0.056947608,0.4460094,colon,intestinal crypt stem cell of colon,0.4460094,colon,intestinal crypt stem cell of colon,-0.0051650414,-0.4460094,False
STEAP4,MSLN,AND,18,0.0,0.0,0.0050966297,0.011949088,0.12756264,0.4471154,lung,respiratory goblet cell,0.4471154,lung,respiratory goblet cell,-0.011949088,-0.4471154,False
CEACAM5,MSLN,AND,18,0.0,0.0,0.0,0.00068212824,0.05922551,0.49266055,colon,"BEST4+ intestinal epithelial cell, human",0.49266055,colon,"BEST4+ intestinal epithelial cell, human",-0.00068212824,-0.49266055,False
HPN,FOLR1,AND,18,0.0,0.0,0.00043799324,0.0032036167,0.06896552,0.5352769,lung,pulmonary alveolar type 2 cell,0.5352769,lung,pulmonary alveolar type 2 cell,-0.0032036167,-0.5352769,False
TMPRSS2,MSLN,AND,18,0.0,0.0021367522,0.004986864,0.017231008,0.12984055,0.53915274,lung,pulmonary alveolar type 1 cell,0.53915274,lung,pulmonary alveolar type 1 cell,-0.015094256,-0.537016,False
MSLN,ERBB2,AND,18,0.0,0.0,0.0029461565,0.01775933,0.17995444,0.5542857,endocrine gland,mesothelial cell,0.5542857,endocrine gland,mesothelial cell,-0.01775933,-0.5542857,False
FOLR1,ERBB2,AND,18,0.0,0.0,0.0022898451,0.024410773,0.13793103,0.558672,lung,club cell,0.558672,lung,club cell,-0.024410773,-0.558672,False
NECTIN4,MUC1,AND,18,0.0,0.045948327,0.07143902,0.089607924,0.25686592,0.61010975,bladder organ,bladder urothelial cell,0.61010975,bladder organ,bladder urothelial cell,-0.043659598,-0.5641614,False
FOLR1,MSLN,AND,18,0.0,0.0,0.000118708456,0.009705998,0.08656036,0.6328626,lung,pulmonary alveolar type 1 cell,0.6328626,lung,pulmonary alveolar type 1 cell,-0.009705998,-0.6328626,False
ADAM9,FOLR1,AND,18,0.0,0.0,0.0015080287,0.024528725,0.10344828,0.63735557,lung,pulmonary alveolar type 1 cell,0.63735557,lung,pulmonary alveolar type 1 cell,-0.024528725,-0.63735557,False
CEACAM5,MUC1,AND,18,0.0,0.0,0.002273341,0.005905074,0.06378132,0.64319247,colon,intestinal crypt stem cell of colon,0.64319247,colon,intestinal crypt stem cell of colon,-0.005905074,-0.64319247,False
STEAP2,MSLN,AND,18,0.0,0.0021367522,0.005799865,0.017071936,0.12756264,0.6514286,endocrine gland,mesothelial cell,0.6514286,endocrine gland,mesothelial cell,-0.014935184,-0.6492918,False
CEACAM5,ADAM9,AND,18,0.0,0.0,0.0020811856,0.002538071,0.0523918,0.6666667,skin of body,sebum secreting cell,0.6666667,skin of body,sebum secreting cell,-0.002538071,-0.6666667,False
EPCAM,MSLN,AND,18,0.0,0.0,0.0050768224,0.026765887,0.19362187,0.69736844,lung,pulmonary alveolar type 1 cell,0.69736844,lung,pulmonary alveolar type 1 cell,-0.026765887,-0.69736844,False
CDH1,MSLN,AND,18,0.0,0.0,0.0048510153,0.028563976,0.17995444,0.69768935,lung,pulmonary alveolar type 1 cell,0.69768935,lung,pulmonary alveolar type 1 cell,-0.028563976,-0.69768935,False
MSLN,MUC1,AND,18,0.0,0.0,0.0021549282,0.02316046,0.2072893,0.7047497,lung,pulmonary alveolar type 1 cell,0.7047497,lung,pulmonary alveolar type 1 cell,-0.02316046,-0.7047497,False
TACSTD2,MSLN,AND,18,0.0,0.0,0.00532266,0.032392897,0.23917995,0.70860076,lung,pulmonary alveolar type 1 cell,0.70860076,lung,pulmonary alveolar type 1 cell,-0.032392897,-0.70860076,False
STEAP4,FOLR1,AND,18,0.0,0.0,0.0023674779,0.018155593,0.07289294,0.7166571,lung,club cell,0.7166571,lung,club cell,-0.018155593,-0.7166571,False
TACSTD2,CEACAM5,AND,18,0.0,0.0,0.0035115816,0.005905074,0.06378132,0.7185185,skin of body,sebum secreting cell,0.7185185,skin of body,sebum secreting cell,-0.005905074,-0.7185185,False
STEAP1,MSLN,AND,18,0.0,0.001776199,0.0058283163,0.011626344,0.11617312,0.74285716,endocrine gland,mesothelial cell,0.74285716,endocrine gland,mesothelial cell,-0.009850145,-0.74108094,False
ADAM9,MSLN,AND,18,0.0,0.0,0.0034277237,0.018226687,0.15261959,0.7542857,endocrine gland,mesothelial cell,0.7542857,endocrine gland,mesothelial cell,-0.018226687,-0.7542857,False
TMPRSS2,FOLR1,AND,18,0.0,0.0,0.0020481932,0.026836997,0.08883827,0.7744523,lung,pulmonary alveolar type 2 cell,0.7744523,lung,pulmonary alveolar type 2 cell,-0.026836997,-0.7744523,False
TACSTD2,FOLR1,AND,18,0.0,0.0,0.0034785892,0.0462963,0.13895217,0.8008014,lung,club cell,0.8008014,lung,club cell,-0.0462963,-0.8008014,False
CEACAM5,CD46,AND,18,0.0,0.0,0.0035115816,0.005905074,0.061503418,0.81395346,colon,type L enteroendocrine cell,0.81395346,colon,type L enteroendocrine cell,-0.005905074,-0.81395346,False
CDH1,FOLR1,AND,18,0.0,0.0,0.0031593041,0.035478625,0.10933941,0.8185268,lung,pulmonary alveolar type 2 cell,0.8185268,lung,pulmonary alveolar type 2 cell,-0.035478625,-0.8185268,False
CD46,MSLN,AND,18,0.0,0.0,0.0050768224,0.030349083,0.21867882,0.82285714,endocrine gland,mesothelial cell,0.82285714,endocrine gland,mesothelial cell,-0.030349083,-0.82285714,False
CD46,FOLR1,AND,18,0.0,0.0,0.0034785892,0.042288207,0.12984055,0.83413833,lung,pulmonary alveolar type 2 cell,0.83413833,lung,pulmonary alveolar type 2 cell,-0.042288207,-0.83413833,False
EPCAM,FOLR1,AND,18,0.0,0.0,0.0031593041,0.038066424,0.12072893,0.8360359,lung,pulmonary alveolar type 2 cell,0.8360359,lung,pulmonary alveolar type 2 cell,-0.038066424,-0.8360359,False
FOLR1,MUC1,AND,18,0.0,0.0,0.0019294848,0.025568295,0.107061505,0.8705365,lung,pulmonary alveolar type 2 cell,0.8705365,lung,pulmonary alveolar type 2 cell,-0.025568295,-0.8705365,False
TMPRSS2,CEACAM5,AND,18,0.0,0.0,0.0024004702,0.003434815,0.038724374,0.8863636,colon,paneth cell of colon,0.8863636,colon,paneth cell of colon,-0.003434815,-0.8863636,False
CEACAM5,CDH1,AND,18,0.0,0.0,0.0035115816,0.005905074,0.054669704,0.9318182,colon,paneth cell of colon,0.9318182,colon,paneth cell of colon,-0.005905074,-0.9318182,False
EPCAM,CEACAM5,AND,18,0.0,0.0,0.0035115816,0.005905074,0.056947608,0.97727275,colon,paneth cell of colon,0.97727275,colon,paneth cell of colon,-0.005905074,-0.97727275,False
