psma_psca_selectivity_xprostate,random_surface_pair_median_selectivity,frac_random_pairs_worse_than_psma_psca,n_random_pairs,and_gate_xprostate_reduction,row,pair,tumor_median,worst_healthy_xprostate,selectivity_xprostate
-0.049306400000000014,-0.093792233,0.575,200.0,0.7936819599999999,summary,,,,
,,,,,comparator_example,FOLR1 AND MSLN,0.0,0.8,-0.8
,,,,,comparator_example,FOLR1 AND ERBB2,0.0,0.7362889,-0.7362889
,,,,,comparator_example,MSLN AND ERBB2,0.0,0.45360824,-0.45360824
