pair,n_patients,q10,q10_lo,q10_hi,median,median_lo,median_hi,frac_pat_ge_0.4,frac_pat_ge_0.5,lead_pareto_prob
PSMA x STEAP1,18,0.44972526729106904,0.19311663508415222,0.6064995229244232,0.6872707009315491,0.5785594582557678,0.7948718070983887,0.8888888888888888,0.8888888888888888,0.996
PSMA x PSCA,18,0.05361281521618366,0.03846153989434242,0.07058823853731155,0.10323596745729446,0.06612276285886765,0.1987236887216568,0.1111111111111111,0.05555555555555555,
