hgnc_symbol
AHCY
AMACR
BDH1
DAP
EIF3I
FASN
GDF15
GFUS
HPN
LIG3
MYC
ODC1
POLD2
PPP3CA
PRSS8
SLC25A6
SOX4
ST14
TPD52
UAP1
